Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1,1966,14,Chhattisgarh,Durg,1375,80.74,1.38,1.27,292,17.15,0.29,0.27,36,2.11,0.04,0.03,1703,1.71,1.57
1,1967,14,Chhattisgarh,Durg,1516,78.79,1.5,1.17,207,10.76,0.2,0.16,201,10.45,0.2,0.15,1924,1.9,1.48
1,1968,14,Chhattisgarh,Durg,3042,85.84,2.95,2.27,458,12.92,0.44,0.34,44,1.24,0.04,0.03,3544,3.44,2.65
1,1969,14,Chhattisgarh,Durg,4131,82.39,3.99,3.08,847,16.89,0.82,0.63,36,0.72,0.03,0.03,5014,4.84,3.74
1,1970,14,Chhattisgarh,Durg,4594,67.92,4.44,3.32,2024,29.92,1.96,1.46,146,2.16,0.14,0.11,6764,6.54,4.89
1,1971,14,Chhattisgarh,Durg,7152,66.9,6.87,5.11,2894,27.07,2.78,2.07,644,6.02,0.62,0.46,10690,10.27,7.64
1,1972,14,Chhattisgarh,Durg,8345,64.58,8.01,6.09,3769,29.17,3.62,2.75,808,6.25,0.78,0.59,12922,12.4,9.43
1,1973,14,Chhattisgarh,Durg,4679,64.68,4.47,3.31,2312,31.96,2.21,1.64,243,3.36,0.23,0.17,7234,6.92,5.12
1,1974,14,Chhattisgarh,Durg,2704,65.5,2.6,2.32,1161,28.13,1.12,1,263,6.37,0.25,0.23,4128,3.97,3.54
1,1975,14,Chhattisgarh,Durg,4673,81.8,4.39,3.38,828,14.49,0.78,0.6,212,3.71,0.2,0.15,5713,5.37,4.13
1,1976,14,Chhattisgarh,Durg,4904,73.39,4.8,3.86,1489,22.28,1.46,1.17,289,4.33,0.28,0.23,6682,6.54,5.25
1,1977,14,Chhattisgarh,Durg,4281,67.4,4.1,3.08,1560,24.56,1.49,1.12,511,8.04,0.49,0.37,6352,6.08,4.57
1,1978,14,Chhattisgarh,Durg,6212,71.16,5.91,4.43,1912,21.9,1.82,1.36,606,6.94,0.58,0.43,8730,8.31,6.23
1,1979,14,Chhattisgarh,Durg,4832,61.22,4.63,3.89,2382,30.18,2.28,1.92,679,8.6,0.65,0.55,7893,7.57,6.36
1,1980,14,Chhattisgarh,Durg,5779,64.05,5.55,4.19,2612,28.95,2.51,1.89,632,7,0.61,0.46,9023,8.66,6.54
1,1981,14,Chhattisgarh,Durg,6917,58.92,6.59,5.38,3939,33.55,3.75,3.06,883,7.52,0.84,0.69,11739,11.18,9.13
1,1982,14,Chhattisgarh,Durg,7590,65.08,7.19,5.49,3215,27.57,3.05,2.33,857,7.35,0.81,0.62,11662,11.05,8.44
1,1983,14,Chhattisgarh,Durg,10114,66.23,9.54,7.09,4209,27.56,3.97,2.95,947,6.2,0.89,0.66,15270,14.41,10.7
1,1984,14,Chhattisgarh,Durg,12393,64.06,11.7,8.87,5865,30.32,5.54,4.2,1088,5.62,1.03,0.78,19346,18.27,13.85
1,1985,14,Chhattisgarh,Durg,13917,61.62,13.09,9.63,7298,32.31,6.86,5.05,1372,6.07,1.29,0.95,22587,21.24,15.63
1,1986,14,Chhattisgarh,Durg,13535,57.57,12.88,10.33,8326,35.41,7.92,6.36,1649,7.01,1.57,1.26,23510,22.36,17.95
1,1987,14,Chhattisgarh,Durg,17444,60.53,16.57,13.21,9301,32.27,8.83,7.04,2076,7.2,1.97,1.57,28821,27.38,21.82
1,1988,14,Chhattisgarh,Durg,18661,55.37,17.97,14.88,11984,35.56,11.54,9.56,3056,9.07,2.94,2.44,33701,32.45,26.87
1,1989,14,Chhattisgarh,Durg,21248,56.58,20.42,16.87,12600,33.55,12.11,10.01,3709,9.88,3.56,2.95,37557,36.1,29.82
1,1990,14,Chhattisgarh,Durg,22144,64.16,21.33,16.24,9038,26.19,8.7,6.63,3332,9.65,3.21,2.44,34514,33.24,25.31
1,1991,14,Chhattisgarh,Durg,19739,49.95,19,14.57,14503,36.7,13.96,10.7,5279,13.36,5.08,3.9,39521,38.03,29.16
1,1992,14,Chhattisgarh,Durg,25064,54.94,24.09,18.42,15323,33.59,14.73,11.26,5234,11.47,5.03,3.85,45621,43.84,33.53
1,1993,14,Chhattisgarh,Durg,22998,60.08,21.95,16.19,12674,33.11,12.1,8.92,2606,6.81,2.49,1.84,38278,36.54,26.95
1,1994,14,Chhattisgarh,Durg,28961,62.36,27.6,19.92,14506,31.23,13.82,9.98,2975,6.41,2.83,2.05,46442,44.25,31.94
1,1995,14,Chhattisgarh,Durg,28961,62.36,27.55,19.86,14506,31.23,13.8,9.95,2975,6.41,2.83,2.04,46442,44.18,31.84
1,1996,14,Chhattisgarh,Durg,28961,62.36,27.49,20.25,14506,31.23,13.77,10.14,2975,6.41,2.82,2.08,46442,44.09,32.48
1,1997,14,Chhattisgarh,Durg,36583,63.75,34.67,25.59,16041,27.95,15.2,11.22,4758,8.29,4.51,3.33,57382,54.37,40.14
1,1998,14,Chhattisgarh,Durg,34520,64.05,33.06,25.72,16103,29.88,15.42,12,3272,6.07,3.13,2.44,53895,51.62,40.15
1,1999,14,Chhattisgarh,Durg,35428,62.08,33.81,24.98,15822,27.73,15.1,11.16,5816,10.19,5.55,4.1,57066,54.47,40.24
1,2000,14,Chhattisgarh,Durg,35349,59.45,34.47,29.14,18393,30.93,17.94,15.16,5722,9.62,5.58,4.72,59464,57.99,49.03
1,2001,14,Chhattisgarh,Durg,39695,64.02,38.25,29.54,17621,28.42,16.98,13.11,4692,7.57,4.52,3.49,62007,59.75,46.14
1,2002,14,Chhattisgarh,Durg,33215,59.23,32.11,25.84,16959,30.24,16.39,13.19,5909,10.54,5.71,4.6,56082,54.22,43.63
1,2003,14,Chhattisgarh,Durg,32666,61.75,31.39,23.64,14731,27.85,14.16,10.66,5504,10.4,5.29,3.98,52900,50.84,38.29
1,2004,14,Chhattisgarh,Durg,48957,60.42,47,34.52,23367,28.84,22.44,16.48,8698,10.74,8.35,6.13,81022,77.79,57.13
1,2005,14,Chhattisgarh,Durg,52889,60.61,50.67,36.8,23912,27.4,22.91,16.64,10466,11.99,10.03,7.28,87267,83.61,60.73
1,2006,14,Chhattisgarh,Durg,63979,59.71,61.4,44.56,30775,28.72,29.54,21.43,12392,11.57,11.89,8.63,107146,102.83,74.63
1,2007,14,Chhattisgarh,Durg,60332,60.73,58,41.71,27558,27.74,26.49,19.05,11458,11.53,11.01,7.92,99347,95.51,68.68
1,2008,14,Chhattisgarh,Durg,52406,50.46,50.7,37.62,33856,32.6,32.75,24.3,17602,16.95,17.03,12.63,103864,100.48,74.56
1,2009,14,Chhattisgarh,Durg,72854,55.13,70.82,53.45,41198,31.18,40.05,30.23,18091,13.69,17.58,13.27,132143,128.45,96.95
1,2010,14,Chhattisgarh,Durg,77428,54.47,75.27,55.08,45186,31.79,43.93,32.15,19542,13.75,19,13.9,142156,138.2,101.13
1,2011,14,Chhattisgarh,Durg,72843,53.56,70.69,51.66,45815,33.69,44.46,32.49,17339,12.75,16.83,12.3,135997,131.98,96.46
1,2012,14,Chhattisgarh,Durg,93725,58.43,91.08,66.19,50474,31.47,49.05,35.65,16214,10.11,15.76,11.45,160413,155.88,113.29
1,2013,14,Chhattisgarh,Durg,80745,58.05,78.35,56.41,42228,30.36,40.98,29.5,16125,11.59,15.65,11.27,139098,134.98,97.18
1,2014,14,Chhattisgarh,Durg,92459,56.7,90.1,64.26,54358,33.33,52.97,37.78,16254,9.97,15.84,11.3,163071,158.92,113.34
1,2015,14,Chhattisgarh,Durg,109099,57.14,105.92,75.87,62410,32.69,60.59,43.4,19424,10.17,18.86,13.51,190933,185.37,132.77
1,2016,14,Chhattisgarh,Durg,103328,54.12,99.53,70.39,66895,35.04,64.43,45.57,20714,10.85,19.95,14.11,190937,183.91,130.07
1,2017,14,Chhattisgarh,Durg,91447,56.47,-1,-1,53486,33.03,-1,-1,16993,10.49,-1,-1,161926,-1,-1
2,1966,14,Chhattisgarh,Bastar,245,68.82,0.38,0.37,105,29.49,0.16,0.16,6,1.69,0.01,0.01,356,0.55,0.53
2,1967,14,Chhattisgarh,Bastar,202,86.32,0.3,0.29,26,11.11,0.04,0.04,6,2.56,0.01,0.01,234,0.35,0.33
2,1968,14,Chhattisgarh,Bastar,94,29.75,0.14,0.13,222,70.25,0.32,0.31,0,0,0,0,316,0.46,0.44
2,1969,14,Chhattisgarh,Bastar,239,68.48,0.34,0.33,82,23.5,0.12,0.11,28,8.02,0.04,0.04,349,0.5,0.48
2,1970,14,Chhattisgarh,Bastar,380,77.24,0.54,0.51,92,18.7,0.13,0.12,20,4.07,0.03,0.03,492,0.7,0.67
2,1971,14,Chhattisgarh,Bastar,393,72.24,0.56,0.53,130,23.9,0.18,0.18,21,3.86,0.03,0.03,544,0.77,0.74
2,1972,14,Chhattisgarh,Bastar,586,75.03,0.83,0.79,172,22.02,0.24,0.23,23,2.94,0.03,0.03,781,1.11,1.06
2,1973,14,Chhattisgarh,Bastar,778,72.64,1.05,1,235,21.94,0.32,0.3,58,5.42,0.08,0.07,1071,1.45,1.38
2,1974,14,Chhattisgarh,Bastar,110,48.67,0.15,0.14,95,42.04,0.13,0.12,21,9.29,0.03,0.03,226,0.3,0.29
2,1975,14,Chhattisgarh,Bastar,242,74.01,0.32,0.3,68,20.8,0.09,0.08,17,5.2,0.02,0.02,327,0.43,0.41
2,1976,14,Chhattisgarh,Bastar,285,72.89,0.38,0.37,81,20.72,0.11,0.11,25,6.39,0.03,0.03,391,0.52,0.51
2,1977,14,Chhattisgarh,Bastar,574,66.9,0.75,0.72,239,27.86,0.31,0.3,45,5.24,0.06,0.06,858,1.13,1.08
2,1978,14,Chhattisgarh,Bastar,499,66.44,0.65,0.62,213,28.36,0.28,0.26,39,5.19,0.05,0.05,751,0.97,0.93
2,1979,14,Chhattisgarh,Bastar,380,61.39,0.49,0.47,193,31.18,0.25,0.24,46,7.43,0.06,0.06,619,0.8,0.77
2,1980,14,Chhattisgarh,Bastar,383,60.7,0.48,0.46,195,30.9,0.24,0.23,53,8.4,0.07,0.06,631,0.79,0.76
2,1981,14,Chhattisgarh,Bastar,454,62.19,0.56,0.54,206,28.22,0.26,0.25,70,9.59,0.09,0.08,730,0.9,0.87
2,1982,14,Chhattisgarh,Bastar,556,67.07,0.68,0.65,213,25.69,0.26,0.25,60,7.24,0.07,0.07,829,1.01,0.97
2,1983,14,Chhattisgarh,Bastar,1078,60.63,1.29,1.24,566,31.83,0.68,0.65,134,7.54,0.16,0.15,1778,2.12,2.04
2,1984,14,Chhattisgarh,Bastar,1398,69.69,1.68,1.62,433,21.59,0.52,0.5,175,8.72,0.21,0.2,2006,2.41,2.32
2,1985,14,Chhattisgarh,Bastar,1445,62.02,1.72,1.65,705,30.26,0.84,0.81,180,7.73,0.21,0.21,2330,2.77,2.67
2,1986,14,Chhattisgarh,Bastar,1603,58.1,1.91,1.84,885,32.08,1.05,1.01,271,9.82,0.32,0.31,2759,3.28,3.16
2,1987,14,Chhattisgarh,Bastar,1762,62.28,2.09,2.01,824,29.13,0.98,0.94,243,8.59,0.29,0.28,2829,3.36,3.23
2,1988,14,Chhattisgarh,Bastar,2196,62.78,2.58,2.49,968,27.67,1.14,1.1,334,9.55,0.39,0.38,3498,4.11,3.97
2,1989,14,Chhattisgarh,Bastar,2753,61.18,3.22,3.14,1291,28.69,1.51,1.47,456,10.13,0.53,0.52,4500,5.27,5.14
2,1990,14,Chhattisgarh,Bastar,1784,56.33,2.06,1.99,1166,36.82,1.35,1.3,217,6.85,0.25,0.24,3167,3.66,3.54
2,1991,14,Chhattisgarh,Bastar,3017,65.59,3.49,3.38,1248,27.13,1.44,1.4,335,7.28,0.39,0.37,4600,5.32,5.15
2,1992,14,Chhattisgarh,Bastar,3266,58.83,3.81,3.7,1703,30.67,1.99,1.93,583,10.5,0.68,0.66,5552,6.48,6.29
2,1993,14,Chhattisgarh,Bastar,3363,68.4,3.83,3.7,1310,26.64,1.49,1.44,244,4.96,0.28,0.27,4917,5.6,5.41
2,1994,14,Chhattisgarh,Bastar,3718,63.17,4.25,4.1,1728,29.36,1.98,1.91,440,7.48,0.5,0.49,5886,6.73,6.49
2,1995,14,Chhattisgarh,Bastar,3718,63.17,4.24,4.09,1728,29.36,1.97,1.9,440,7.48,0.5,0.48,5886,6.72,6.48
2,1996,14,Chhattisgarh,Bastar,3718,63.17,4.26,4.1,1728,29.36,1.98,1.91,440,7.48,0.5,0.49,5886,6.74,6.5
2,1997,14,Chhattisgarh,Bastar,7577,70.24,8.73,8.44,2296,21.28,2.64,2.56,915,8.48,1.05,1.02,10788,12.43,12.01
2,1998,14,Chhattisgarh,Bastar,4096,57.03,4.71,4.51,2434,33.89,2.8,2.68,652,9.08,0.75,0.72,7182,8.26,7.91
2,1999,14,Chhattisgarh,Bastar,5861,54.33,6.77,6.55,3470,32.17,4.01,3.88,1457,13.51,1.68,1.63,10788,12.46,12.06
2,2000,14,Chhattisgarh,Bastar,7060,67.35,8.2,7.99,2551,24.34,2.96,2.89,871,8.31,1.01,0.99,10482,12.18,11.86
2,2001,14,Chhattisgarh,Bastar,8975,63.91,10.42,10.1,3729,26.55,4.33,4.2,1339,9.53,1.55,1.51,14043,16.3,15.8
2,2002,14,Chhattisgarh,Bastar,6298,58.98,7.5,7.32,3230,30.25,3.84,3.75,1151,10.78,1.37,1.34,10679,12.71,12.41
2,2003,14,Chhattisgarh,Bastar,6474,59.59,7.63,7.38,3114,28.66,3.67,3.55,1276,11.75,1.5,1.46,10864,12.8,12.39
2,2004,14,Chhattisgarh,Bastar,9315,59.18,10.99,10.63,4360,27.7,5.14,4.98,2064,13.11,2.43,2.36,15739,18.57,17.96
